,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,398,62,1,madrid,1,belgian,1,3535
1,845,338,1,madrid,1,belgian,1,3535
2,235,157,0,madrid,1,belgian,1,3535
3,478,116,0,madrid,1,belgian,1,3535
4,411,97,0,madrid,1,belgian,1,3535
5,378,133,0,madrid,1,belgian,1,3535
6,246,376,1,madrid,1,belgian,1,3535
7,941,71,0,madrid,1,belgian,1,3535
8,860,154,0,madrid,1,belgian,1,3535
9,791,116,0,madrid,1,belgian,1,3535
10,393,144,2,madrid,1,belgian,1,3535
11,828,111,1,madrid,1,belgian,1,3535
12,525,140,0,madrid,1,belgian,1,3535
13,857,106,1,madrid,1,belgian,1,3535
14,186,135,0,madrid,1,belgian,1,3535
15,414,69,0,madrid,1,belgian,1,3535
16,93,273,3,madrid,1,belgian,1,3535
17,439,114,0,madrid,1,belgian,1,3535
18,689,92,0,madrid,1,belgian,1,3535
19,798,369,0,madrid,1,belgian,1,3535
20,313,72,0,madrid,1,belgian,1,3535
21,154,343,1,madrid,1,belgian,1,3535
22,322,80,2,madrid,1,belgian,1,3535
23,822,197,1,madrid,1,belgian,1,3535
24,870,75,0,madrid,1,belgian,1,3535
25,499,258,1,madrid,1,belgian,1,3535
26,97,240,2,madrid,1,belgian,1,3535
27,79,119,0,madrid,1,belgian,1,3535
28,333,102,1,madrid,1,belgian,1,3535
29,31,115,0,madrid,1,belgian,1,3535
30,737,141,8,madrid,1,belgian,1,3535
31,54,94,0,madrid,1,belgian,1,3535
32,312,116,0,madrid,1,belgian,1,3535
33,444,147,1,madrid,1,belgian,1,3535
34,427,264,1,madrid,1,belgian,1,3535
35,241,132,0,madrid,1,belgian,1,3535
36,901,374,1,madrid,1,belgian,1,3535
37,721,72,0,madrid,1,belgian,1,3535
38,102,351,1,madrid,1,belgian,1,3535
39,174,126,5,madrid,1,belgian,1,3535
40,233,157,0,madrid,1,belgian,1,3535
41,310,69,0,madrid,1,belgian,1,3535
42,284,144,1,madrid,1,belgian,1,3535
43,780,365,1,madrid,1,belgian,1,3535
44,606,253,0,madrid,1,belgian,1,3535
45,458,77,1,madrid,1,belgian,1,3535
46,175,115,0,madrid,1,belgian,1,3535
47,205,92,0,madrid,1,belgian,1,3535
48,39,115,0,madrid,1,belgian,1,3535
49,120,159,0,madrid,1,belgian,1,3535
50,127,73,0,madrid,1,belgian,1,3535
51,997,153,0,madrid,1,belgian,1,3535
52,982,245,1,madrid,1,belgian,1,3535
53,185,154,0,madrid,1,belgian,1,3535
54,561,61,3,madrid,1,belgian,1,3535
55,847,81,4,madrid,1,belgian,1,3535
56,126,103,0,madrid,1,belgian,1,3535
57,276,73,0,madrid,1,belgian,1,3535
58,483,99,0,madrid,1,belgian,1,3535
59,495,363,1,madrid,1,belgian,1,3535
60,384,173,1,madrid,1,belgian,1,3535
61,413,272,2,madrid,1,belgian,1,3535
62,768,382,1,madrid,1,belgian,1,3535
63,618,115,0,madrid,1,belgian,1,3535
64,873,209,4,madrid,1,belgian,1,3535
65,966,84,0,madrid,1,belgian,1,3535
66,2,96,0,madrid,1,belgian,1,3535
67,538,130,0,madrid,1,belgian,1,3535
68,615,114,0,madrid,1,belgian,1,3535
69,164,153,0,madrid,1,belgian,1,3535
70,75,150,0,madrid,1,belgian,1,3535
71,904,118,0,madrid,1,belgian,1,3535
72,747,170,1,madrid,1,belgian,1,3535
73,135,365,1,madrid,1,belgian,1,3535
74,939,179,0,madrid,1,belgian,1,3535
75,388,132,0,madrid,1,belgian,1,3535
76,909,70,0,madrid,1,belgian,1,3535
77,789,80,0,madrid,1,belgian,1,3535
78,888,225,12,madrid,1,belgian,1,3535
79,886,168,0,madrid,1,belgian,1,3535
80,285,95,0,madrid,1,belgian,1,3535
81,7,99,0,madrid,1,belgian,1,3535
82,261,150,0,madrid,1,belgian,1,3535
83,351,97,0,madrid,1,belgian,1,3535
84,619,130,0,madrid,1,belgian,1,3535
85,717,376,1,madrid,1,belgian,1,3535
86,500,71,0,madrid,1,belgian,1,3535
87,964,156,0,madrid,1,belgian,1,3535
88,936,156,0,madrid,1,belgian,1,3535
89,108,101,0,madrid,1,belgian,1,3535
90,252,264,1,madrid,1,belgian,1,3535
91,20,75,0,madrid,1,belgian,1,3535
92,697,156,0,madrid,1,belgian,1,3535
93,633,156,0,madrid,1,belgian,1,3535
94,600,66,0,madrid,1,belgian,1,3535
95,149,187,0,madrid,1,belgian,1,3535
96,527,154,0,madrid,1,belgian,1,3535
97,277,225,3,madrid,1,belgian,1,3535
98,138,72,0,madrid,1,belgian,1,3535
99,67,193,12,madrid,1,belgian,1,3535
100,297,367,1,madrid,1,belgian,1,3535
101,733,155,0,madrid,1,belgian,1,3535
102,468,70,0,madrid,1,belgian,1,3535
103,729,355,1,madrid,1,belgian,1,3535
104,575,85,19,madrid,1,belgian,1,3535
105,147,182,0,madrid,1,belgian,1,3535
106,800,97,0,madrid,1,belgian,1,3535
